ID,title,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness,cluster,feature_list
1,Inception,0.155617352,0.243660419,0.08775769,0.585050987,0.041212744,0.700803213,0.068184472,0.631773132,0.041144708,0,"[0.15561735245095973, 0.2436604189636163, 0.08775769009908857, 0.585050986697716, 0.041212744090441934, 0.7008032128514056, 0.06818447168709865, 0.6317731317369601, 0.04114470842332613]"
2,The Matrix,0.88453745,0.100330761,0.279941028,0.352337256,0.038232271,0.919678715,0.089316988,0.643757988,0.044492441,3,"[0.8845374500973371, 0.10033076074972436, 0.2799410275724258, 0.3523372560978427, 0.0382322713257965, 0.919678714859438, 0.0893169877408056, 0.6437579878945717, 0.04449244060475162]"
3,Avengers: Infinity War,0.915662137,0.140022051,0.035060637,0.303374317,0.085714286,0.596385542,0.10566258,0.347054426,0.048272138,3,"[0.9156621374624028, 0.14002205071664828, 0.03506063680969626, 0.30337431675052784, 0.08571428571428573, 0.5963855421686747, 0.10566258026853473, 0.3470544261978826, 0.048272138228941684]"
4,Back to the Future,0.873493206,0.217199559,0.501188198,0.368356366,0.152106886,0.779116466,0.013193228,0.803515879,0.062742981,3,"[0.873493206193604, 0.217199558985667, 0.5011881978714011, 0.3683563662910238, 0.15210688591983554, 0.7791164658634537, 0.013193228254524222, 0.8035158793315488, 0.06274298056155507]"
5,"The Good, the Bad and the Ugly",0.974899446,0.855567806,0.105960298,0.554126295,0.159301131,0.768072289,0.063047285,0.625744532,0.08574514,3,"[0.9748994456733342, 0.8555678059536933, 0.1059602982009588, 0.5541262954594809, 0.1593011305241521, 0.7680722891566265, 0.06304728546409807, 0.6257445320600931, 0.08574514038876889]"
6,Spider-Man: Into the Spider-Verse,0.001479868,0.700110254,0.689248293,0.670432336,0.7327852,0.936746988,0.046584939,0.791772167,0.095788337,0,"[0.0014798684417698367, 0.7001102535832414, 0.6892482926255301, 0.6704323357775529, 0.7327852004110996, 0.9367469879518072, 0.046584938704028016, 0.7917721671610117, 0.09578833693304536]"
9,Raiders of the Lost Ark,0.816263942,0.341786108,0.347320848,0.605819922,0.156217883,0.913654618,0.091652072,0.770768526,0.042332613,3,"[0.8162639423288057, 0.3417861080485115, 0.34732084761802284, 0.6058199224688005, 0.15621788283658786, 0.9136546184738956, 0.09165207238762403, 0.7707685258868069, 0.04233261339092872]"
11,Taxi Driver,0.880521361,0.260198456,0.010723448,0.414690268,0.038437821,0.301204819,0.058844133,0.288625238,0.047408207,2,"[0.8805213614050705, 0.2601984564498346, 0.010723448076808972, 0.4146902679400635, 0.03843782117163412, 0.3012048192771085, 0.058844133099824864, 0.2886252381296872, 0.04740820734341252]"
12,3 Idiots,0.39457463,0.736493936,0.618851466,0.452739698,0.581706064,6.34E-06,0.074138938,0.850514842,0.062850972,1,"[0.39457462964081896, 0.7364939360529216, 0.6188514657122198, 0.4527396975451534, 0.5817060637204523, 6.335341365461847e-06, 0.07413893753648568, 0.8505148424124044, 0.06285097192224623]"
13,Pan's Labyrinth,0.89357365,0.313120176,0.08614862,0.327081861,0.081808839,0.089257028,0.060478692,0.551713328,0.046220302,2,"[0.8935736496549368, 0.31312017640573314, 0.08614861976964149, 0.3270818605639725, 0.08180883864337103, 0.08925702811244983, 0.060478692352597764, 0.5517133280281656, 0.04622030237580993]"
14,Room,0.9909638,0.120176406,0.10394896,0.327848856,0.12024666,0.906626506,0.074839463,0.686657503,0.03650108,3,"[0.9909638004424004, 0.12017640573318633, 0.10394896028914996, 0.3278488557448401, 0.12024665981500515, 0.9066265060240964, 0.07483946293053123, 0.6866575031951577, 0.03650107991360689]"
17,Indiana Jones and the Last Crusade,0.911646049,0.490628445,0.513256225,0.426061203,0.334018499,0.920682731,0.148861646,0.799127059,0.044060475,3,"[0.9116460487701362, 0.4906284454244762, 0.5132562253422543, 0.4260612025190709, 0.3340184994861254, 0.9206827309236948, 0.148861646234676, 0.7991270587667896, 0.04406047516198704]"
19,The King's Speech,0.51505729,0.102535832,0.024400546,0.366720726,0.037512847,0.808232932,0.063747811,0.541488823,0.05,3,"[0.5150572904088152, 0.10253583241455344, 0.024400545877109263, 0.3667207259655591, 0.03751284686536485, 0.8082329317269077, 0.0637478108581436, 0.5414888229761989, 0.05]"
20,Her,0.989959778,0.660418964,0.003170874,0.608157872,0.335046249,0.927710843,0.084646818,0.284091731,0.069546436,3,"[0.9899597782693338, 0.6604189636163175, 0.0031708742179666783, 0.6081578716345776, 0.3350462487153135, 0.927710843373494, 0.0846468184471687, 0.2840917311726832, 0.06954643628509719]"
21,There Will Be Blood,0.95381498,0.22491731,0.177362794,0.305504346,0.037615622,0.878514056,0.096322242,0.647616292,0.046220302,3,"[0.9538149800389348, 0.22491730981256888, 0.17736279407017358, 0.30550434553594946, 0.037615621788283655, 0.8785140562248996, 0.09632224168126094, 0.6476162916877666, 0.04622030237580993]"
22,The Social Network,0.974899446,0.22491731,0.154232408,0.527701925,0.039979445,0.948795181,0.086981903,0.429622127,0.045464363,3,"[0.9748994456733342, 0.22491730981256888, 0.1542324080843716, 0.5277019253427221, 0.03997944501541623, 0.9487951807228916, 0.08698190309398715, 0.4296221273722539, 0.04546436285097192]"
24,The Perks of Being a Wallflower,0.9909638,0.287761852,0.107971636,0.804448572,0.142857143,0.980923695,0.210741389,0.610817719,0.041792657,3,"[0.9909638004424004, 0.2877618522601984, 0.10797163611276768, 0.8044485720490322, 0.14285714285714288, 0.9809236947791165, 0.2107413893753648, 0.6108177192601703, 0.041792656587473]"
26,Ex Machina,0.963855202,0.213891951,0.043206555,0.641817871,0.030215827,0.902610442,0.089316988,0.283030698,0.042116631,3,"[0.9638552017696012, 0.21389195148842333, 0.04320655535252217, 0.6418178709877141, 0.030215827338129494, 0.9026104417670684, 0.0893169877408056, 0.2830306976295546, 0.042116630669546434]"
27,Silver Linings Playbook,0.865461029,0.406835722,0.332235813,0.461694135,0.206577595,0.951807229,0.074722709,0.687670308,0.034557235,3,"[0.8654610288090709, 0.4068357221609702, 0.33223581327945634, 0.4616941352591381, 0.2065775950668037, 0.9518072289156626, 0.07472270869819031, 0.6876703079408715, 0.0345572354211663]"
28,District 9,0.926706381,0.180815877,0.093188302,0.600381649,0.03299075,0.873493976,0.093987157,0.5000844,0.043196544,3,"[0.9267063813661358, 0.1808158765159867, 0.09318830246097252, 0.6003816494092751, 0.032990750256937304, 0.8734939759036146, 0.09398715703444248, 0.5000844003954761, 0.04319654427645788]"
30,Moon,0.883533428,0.299889746,0.284969372,0.515836602,0.037410072,0.895582329,0.107997665,0.627263739,0.037688985,3,"[0.8835334279242704, 0.2998897464167585, 0.2849693723519479, 0.5158366023037577, 0.03741007194244605, 0.8955823293172691, 0.10799766491535318, 0.6272637391786635, 0.0376889848812095]"
31,Marriage Story,0.998995978,0.590959206,0.039284446,0.388108802,0.515930113,0.964859438,0.092819615,0.507776894,0.055183585,3,"[0.9989959778269336, 0.5909592061742006, 0.039284446424494884, 0.3881088024248136, 0.5159301130524152, 0.9648594377510041, 0.09281961471103327, 0.5077768935831584, 0.05518358531317495]"
32,Drive,0.01605827,0.300992282,0.907478456,0.889839162,0.08057554,0.038253012,0.083245768,0.89413779,0.114470842,1,"[0.016058270394697385, 0.3009922822491731, 0.9074784560567924, 0.8898391620346625, 0.08057553956834533, 0.03825301204819277, 0.08324576765907762, 0.8941377896742144, 0.11447084233261337]"
34,Incredibles 2,0.526101534,0.491730981,0.608794776,0.571887316,0.18705036,0.130522088,0.985989492,0.840555596,0.100539957,2,"[0.5261015343125482, 0.4917309812568908, 0.6087947761531756, 0.571887316394753, 0.18705035971223025, 0.13052208835341367, 0.9859894921190892, 0.8405555957462201, 0.10053995680345572]"
35,Dangal,0.775099033,0.552370452,0.446882074,0.370033591,0.398766701,0,0.103327496,0.838288842,0.036393089,2,"[0.7750990332330738, 0.5523704520396913, 0.4468820742525617, 0.3700335906925597, 0.3987667009249743, 0.0, 0.10332749562171628, 0.8382888422677179, 0.036393088552915766]"
37,Minority Report,0.940762692,0.154355017,0.012332518,0.322872628,0.129496403,0.902610442,0.145359019,0.245556922,0.039416847,3,"[0.9407626917890688, 0.1543550165380375, 0.012332518406256066, 0.32287262797499405, 0.12949640287769784, 0.9026104417670684, 0.14535901926444833, 0.2455569220381489, 0.03941684665226782]"
41,Despicable Me,0.001720834,0.613009923,0.544431963,0.678846181,0.349434738,0.25,0.39171045,0.744821433,0.054967603,1,"[0.0017208337633058289, 0.6130099228224917, 0.5444319629752918, 0.6788461805026128, 0.3494347379239466, 0.25, 0.3917104495037945, 0.7448214328775711, 0.054967602591792654]"
45,Indiana Jones and the Temple of Doom,0.710841614,0.213891951,0.407660985,0.832416173,0.313463515,0.604417671,0.099824869,0.736670766,0.045356371,3,"[0.7108416141568091, 0.21389195148842333, 0.4076609849722888, 0.8324161734333199, 0.3134635149023638, 0.6044176706827309, 0.09982486865148862, 0.7366707661144468, 0.04535637149028077]"
48,Senna,0.492968803,0,0.194459166,0,0,0.884538153,0.097489784,0.580698835,0,3,"[0.4929688026013492, 0.0, 0.19445916632054894, 0.0, 0.0, 0.8845381526104417, 0.09748978400467018, 0.5806988352745424, 0.0]"
