id,title,year,query_title,movie_url
1,Inception,2010,Inception,/movie/bi/mi/basic.naver?code=52515
2,The Matrix,1999,The+Matrix,/movie/bi/mi/basic.naver?code=24452
3,Avengers: Infinity War,2018,Avengers%3A+Infinity+War,/movie/bi/mi/basic.naver?code=136315
4,Back to the Future,1985,Back+to+the+Future,/movie/bi/mi/basic.naver?code=10002
5,"The Good, the Bad and the Ugly",1966,The+Good%2C+the+Bad+and+the+Ugly,0
6,Spider-Man: Into the Spider-Verse,2018,Spider-Man%3A+Into+the+Spider-Verse,/movie/bi/mi/basic.naver?code=171725
9,Raiders of the Lost Ark,1981,Raiders+of+the+Lost+Ark,/movie/bi/mi/basic.naver?code=10033
11,Taxi Driver,1976,Taxi+Driver,/movie/bi/mi/basic.naver?code=10793
12,3 Idiots,2009,3+Idiots,/movie/bi/mi/basic.naver?code=73372
13,Pan's Labyrinth,2006,Pan%27s+Labyrinth,0
14,Room,2015,Room,0
17,Indiana Jones and the Last Crusade,1989,Indiana+Jones+and+the+Last+Crusade,/movie/bi/mi/basic.naver?code=10035
19,The King's Speech,2010,The+King%27s+Speech,0
20,Her,2013,Her,/movie/bi/mi/basic.naver?code=101950
21,There Will Be Blood,2007,There+Will+Be+Blood,/movie/bi/mi/basic.naver?code=66034
22,The Social Network,2010,The+Social+Network,/movie/bi/mi/basic.naver?code=64686
24,The Perks of Being a Wallflower,2012,The+Perks+of+Being+a+Wallflower,/movie/bi/mi/basic.naver?code=83213
26,Ex Machina,2015,Ex+Machina,/movie/bi/mi/basic.naver?code=118361
27,Silver Linings Playbook,2012,Silver+Linings+Playbook,/movie/bi/mi/basic.naver?code=82283
28,District 9,2009,District+9,/movie/bi/mi/basic.naver?code=64129
30,Moon,2009,Moon,/movie/bi/mi/basic.naver?code=53902
31,Marriage Story,2019,Marriage+Story,/movie/bi/mi/basic.naver?code=188056
32,Drive,2011,Drive,0
34,Incredibles 2,2018,Incredibles+2,/movie/bi/mi/basic.naver?code=136990
35,Dangal,2016,Dangal,/movie/bi/mi/basic.naver?code=157243
37,Minority Report,2002,Minority+Report,/movie/bi/mi/basic.naver?code=31788
41,Despicable Me,2010,Despicable+Me,/movie/bi/mi/basic.naver?code=73339
45,Indiana Jones and the Temple of Doom,1984,Indiana+Jones+and+the+Temple+of+Doom,/movie/bi/mi/basic.naver?code=10034
48,Senna,2010,Senna,/movie/bi/mi/basic.naver?code=77172
51,The Hateful Eight,2015,The+Hateful+Eight,/movie/bi/mi/basic.naver?code=124238
59,Snowpiercer,2013,Snowpiercer,/movie/bi/mi/basic.naver?code=62328
60,Hugo,2011,Hugo,/movie/bi/mi/basic.naver?code=74820
67,Molly's Game,2017,Molly%27s+Game,0
69,El Camino: A Breaking Bad Movie,2019,El+Camino%3A+A+Breaking+Bad+Movie,/movie/bi/mi/basic.naver?code=190004
72,End of Watch,2012,End+of+Watch,/movie/bi/mi/basic.naver?code=85351
79,Mud,2013,Mud,0
85,The Two Popes,2019,The+Two+Popes,/movie/bi/mi/basic.naver?code=189111
86,The Last Samurai,2003,The+Last+Samurai,/movie/bi/mi/basic.naver?code=37869
91,Dolemite Is My Name,2019,Dolemite+Is+My+Name,/movie/bi/mi/basic.naver?code=188990
92,Tarzan,1999,Tarzan,/movie/bi/mi/basic.naver?code=25266
96,Saving Mr. Banks,2013,Saving+Mr.+Banks,0
97,Icarus,2017,Icarus,/movie/bi/mi/basic.naver?code=159177
101,The Death of Stalin,2017,The+Death+of+Stalin,0
113,Extraction,2020,Extraction,/movie/bi/mi/basic.naver?code=192481
115,Blue Valentine,2010,Blue+Valentine,/movie/bi/mi/basic.naver?code=73588
117,Green Room,2015,Green+Room,/movie/bi/mi/basic.naver?code=130948
118,Kung Fu Panda 2,2011,Kung+Fu+Panda+2,/movie/bi/mi/basic.naver?code=73411
119,The Ballad of Buster Scruggs,2018,The+Ballad+of+Buster+Scruggs,/movie/bi/mi/basic.naver?code=178751
122,The Adventures of Tintin,2011,The+Adventures+of+Tintin,0
137,Solo: A Star Wars Story,2018,Solo%3A+A+Star+Wars+Story,/movie/bi/mi/basic.naver?code=144693
138,Steve Jobs,2015,Steve+Jobs,/movie/bi/mi/basic.naver?code=130757
140,The Croods,2013,The+Croods,/movie/bi/mi/basic.naver?code=79435
141,Locke,2014,Locke,0
143,Starred Up,2013,Starred+Up,/movie/bi/mi/basic.naver?code=113405
144,Mudbound,2017,Mudbound,/movie/bi/mi/basic.naver?code=158889
146,Blue Ruin,2013,Blue+Ruin,/movie/bi/mi/basic.naver?code=113021
155,Haider,2014,Haider,/movie/bi/mi/basic.naver?code=123293
157,Hush,2016,Hush,/movie/bi/mi/basic.naver?code=170508
158,Elizabeth,1998,Elizabeth,/movie/bi/mi/basic.naver?code=23923
164,The Autopsy of Jane Doe,2016,The+Autopsy+of+Jane+Doe,/movie/bi/mi/basic.naver?code=154461
165,Virunga,2014,Virunga,/movie/bi/mi/basic.naver?code=122638
167,The Master,2012,The+Master,0
168,A Serious Man,2009,A+Serious+Man,/movie/bi/mi/basic.naver?code=69984
170,The Breadwinner,2017,The+Breadwinner,/movie/bi/mi/basic.naver?code=167311
171,The Boy Who Harnessed the Wind,2019,The+Boy+Who+Harnessed+the+Wind,/movie/bi/mi/basic.naver?code=182051
174,Lawless,2012,Lawless,/movie/bi/mi/basic.naver?code=86319
179,The Mask of Zorro,1998,The+Mask+of+Zorro,/movie/bi/mi/basic.naver?code=19401
180,The Natural,1984,The+Natural,/movie/bi/mi/basic.naver?code=10241
182,Arthur Christmas,2011,Arthur+Christmas,/movie/bi/mi/basic.naver?code=81106
187,War Horse,2011,War+Horse,/movie/bi/mi/basic.naver?code=79315
190,A Most Violent Year,2014,A+Most+Violent+Year,/movie/bi/mi/basic.naver?code=118949
195,Insidious,2010,Insidious,/movie/bi/mi/basic.naver?code=78621
198,The Foreigner,2017,The+Foreigner,/movie/bi/mi/basic.naver?code=165791
199,The Danish Girl,2015,The+Danish+Girl,/movie/bi/mi/basic.naver?code=51787
201,Bird Box,2018,Bird+Box,/movie/bi/mi/basic.naver?code=171475
203,Hostiles,2017,Hostiles,/movie/bi/mi/basic.naver?code=158628
206,LA 92,2017,LA+92,/movie/bi/mi/basic.naver?code=162383
211,A Ghost Story,2017,A+Ghost+Story,/movie/bi/mi/basic.naver?code=158256
212,United 93,2006,United+93,/movie/bi/mi/basic.naver?code=57987
217,Enemy,2013,Enemy,/movie/bi/mi/basic.naver?code=102291
220,Indiana Jones and the Kingdom of the Crystal Skull,2008,Indiana+Jones+and+the+Kingdom+of+the+Crystal+Skull,/movie/bi/mi/basic.naver?code=34521
227,Angel Has Fallen,2019,Angel+Has+Fallen,/movie/bi/mi/basic.naver?code=163831
229,Mary Poppins Returns,2018,Mary+Poppins+Returns,/movie/bi/mi/basic.naver?code=151151
235,American Factory,2019,American+Factory,/movie/bi/mi/basic.naver?code=181977
236,Code 8,2019,Code+8,/movie/bi/mi/basic.naver?code=189712
237,Salt,2010,Salt,/movie/bi/mi/basic.naver?code=50669
238,The Hundred-Foot Journey,2014,The+Hundred-Foot+Journey,/movie/bi/mi/basic.naver?code=118374
241,Chasing Coral,2017,Chasing+Coral,/movie/bi/mi/basic.naver?code=159182
243,The One I Love,2014,The+One+I+Love,/movie/bi/mi/basic.naver?code=119271
249,The Willoughbys,2020,The+Willoughbys,/movie/bi/mi/basic.naver?code=193921
250,The White Helmets,2016,The+White+Helmets,0
258,The Battered Bastards of Baseball,2014,The+Battered+Bastards+of+Baseball,/movie/bi/mi/basic.naver?code=119273
261,Sinister,2012,Sinister,/movie/bi/mi/basic.naver?code=92415
264,The Stanford Prison Experiment,2015,The+Stanford+Prison+Experiment,/movie/bi/mi/basic.naver?code=129077
265,My Week with Marilyn,2011,My+Week+with+Marilyn,/movie/bi/mi/basic.naver?code=78719
267,Secret Superstar,2017,Secret+Superstar,/movie/bi/mi/basic.naver?code=166498
269,Jarhead,2005,Jarhead,/movie/bi/mi/basic.naver?code=50323
275,Olympus Has Fallen,2013,Olympus+Has+Fallen,/movie/bi/mi/basic.naver?code=95876
288,The Score,2001,The+Score,/movie/bi/mi/basic.naver?code=32899
295,The Highwaymen,2019,The+Highwaymen,/movie/bi/mi/basic.naver?code=183108
298,Creep 2,2017,Creep+2,/movie/bi/mi/basic.naver?code=167577
300,Unrest,2017,Unrest,/movie/bi/mi/basic.naver?code=159170
306,Blue Jay,2016,Blue+Jay,/movie/bi/mi/basic.naver?code=154434
307,1922,2017,1922,/movie/bi/mi/basic.naver?code=170419
309,Circus of Books,2019,Circus+of+Books,0
310,"Hail, Caesar!",2016,Hail%2C+Caesar%21,/movie/bi/mi/basic.naver?code=125457
320,Den of Thieves,2018,Den+of+Thieves,/movie/bi/mi/basic.naver?code=168036
321,Wadjda,2012,Wadjda,/movie/bi/mi/basic.naver?code=97721
322,The Spiderwick Chronicles,2008,The+Spiderwick+Chronicles,/movie/bi/mi/basic.naver?code=67366
324,Turbo,2013,Turbo,/movie/bi/mi/basic.naver?code=97826
328,Remember,2015,Remember,0
335,Delhi Belly,2011,Delhi+Belly,/movie/bi/mi/basic.naver?code=83404
338,It Comes at Night,2017,It+Comes+at+Night,/movie/bi/mi/basic.naver?code=158649
341,The Interview,2014,The+Interview,/movie/bi/mi/basic.naver?code=109928
343,Outbreak,1995,Outbreak,/movie/bi/mi/basic.naver?code=17040
348,Candyman,1992,Candyman,/movie/bi/mi/basic.naver?code=13041
350,Calibre,2018,Calibre,/movie/bi/mi/basic.naver?code=176596
358,Outlaw King,2018,Outlaw+King,/movie/bi/mi/basic.naver?code=171538
361,Krisha,2016,Krisha,0
366,The Cakemaker,2017,The+Cakemaker,/movie/bi/mi/basic.naver?code=165321
368,Bleed for This,2016,Bleed+for+This,/movie/bi/mi/basic.naver?code=130986
369,Girl,2018,Girl,/movie/bi/mi/basic.naver?code=175052
377,"Love, Rosie",2014,Love%2C+Rosie,/movie/bi/mi/basic.naver?code=107370
380,Super Dark Times,2017,Super+Dark+Times,/movie/bi/mi/basic.naver?code=160278
381,Tallulah,2016,Tallulah,/movie/bi/mi/basic.naver?code=143370
389,The Duchess,2008,The+Duchess,/movie/bi/mi/basic.naver?code=50704
397,The Sapphires,2012,The+Sapphires,/movie/bi/mi/basic.naver?code=95243
407,6 Underground,2019,6+Underground,/movie/bi/mi/basic.naver?code=189049
411,Suffragette,2015,Suffragette,/movie/bi/mi/basic.naver?code=122131
413,Terminator Salvation,2009,Terminator+Salvation,/movie/bi/mi/basic.naver?code=66520
426,Next Gen,2018,Next+Gen,/movie/bi/mi/basic.naver?code=168039
427,Cam,2018,Cam,/movie/bi/mi/basic.naver?code=177397
428,Divines,2016,Divines,/movie/bi/mi/basic.naver?code=151248
429,Shirkers,2018,Shirkers,/movie/bi/mi/basic.naver?code=172435
430,Underworld: Evolution,2006,Underworld%3A+Evolution,/movie/bi/mi/basic.naver?code=39471
433,Spitfire,2018,Spitfire,0
435,Dear Zindagi,2016,Dear+Zindagi,/movie/bi/mi/basic.naver?code=157292
441,Black Sea,2014,Black+Sea,/movie/bi/mi/basic.naver?code=118344
442,Ali's Wedding,2017,Ali%27s+Wedding,0
447,Badla,2019,Badla,/movie/bi/mi/basic.naver?code=184227
454,Spenser Confidential,2020,Spenser+Confidential,/movie/bi/mi/basic.naver?code=191686
463,The Runaways,2010,The+Runaways,/movie/bi/mi/basic.naver?code=66361
465,The Half of It,2020,The+Half+of+It,/movie/bi/mi/basic.naver?code=193488
468,What Lies Beneath,2000,What+Lies+Beneath,/movie/bi/mi/basic.naver?code=29691
472,One Day,2011,One+Day,0
476,The Grinch,2018,The+Grinch,/movie/bi/mi/basic.naver?code=150688
478,Beasts of No Nation,2015,Beasts+of+No+Nation,/movie/bi/mi/basic.naver?code=122490
486,Underworld: Rise of the Lycans,2009,Underworld%3A+Rise+of+the+Lycans,/movie/bi/mi/basic.naver?code=68071
487,Talaash,2012,Talaash,/movie/bi/mi/basic.naver?code=101004
491,Bee Movie,2007,Bee+Movie,/movie/bi/mi/basic.naver?code=56227
492,Trash,2014,Trash,/movie/bi/mi/basic.naver?code=114293
494,He's Just Not That Into You,2009,He%27s+Just+Not+That+Into+You,0
501,Bad Day for the Cut,2017,Bad+Day+for+the+Cut,/movie/bi/mi/basic.naver?code=159156
503,Soul Surfer,2011,Soul+Surfer,/movie/bi/mi/basic.naver?code=82413
510,Berlin Syndrome,2017,Berlin+Syndrome,/movie/bi/mi/basic.naver?code=158864
512,Big Miracle,2012,Big+Miracle,/movie/bi/mi/basic.naver?code=84163
516,Deep Impact,1998,Deep+Impact,/movie/bi/mi/basic.naver?code=19063
520,The Wandering Earth,2019,The+Wandering+Earth,0
