ID,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
1,0.155,0.221,0.0879,126.622,0.0401,0.698,0.0869,-16.996,0.0381
2,0.881,0.091,0.279,76.256,0.0372,0.916,0.105,-16.499,0.0412
3,0.912,0.127,0.0355,65.659,0.0834,0.594,0.119,-28.803,0.0447
4,0.87,0.197,0.499,79.723,0.148,0.776,0.0398,-9.874,0.0581
5,0.971,0.776,0.106,119.929,0.155,0.765,0.0825,-17.246,0.0794
6,0.00148,0.635,0.686,145.101,0.713,0.933,0.0684,-10.361,0.0887
9,0.813,0.31,0.346,131.117,0.152,0.91,0.107,-11.232,0.0392
11,0.877,0.236,0.0113,89.751,0.0374,0.3,0.0789,-31.226,0.0439
12,0.393,0.668,0.616,97.986,0.566,6.31E-06,0.092,-7.925,0.0582
13,0.89,0.284,0.0863,70.79,0.0796,0.0889,0.0803,-20.316,0.0428
14,0.987,0.109,0.104,70.956,0.117,0.903,0.0926,-14.72,0.0338
17,0.908,0.445,0.511,92.212,0.325,0.917,0.156,-10.056,0.0408
19,0.513,0.093,0.0249,79.369,0.0365,0.805,0.0831,-20.74,0.0463
20,0.986,0.599,0.00379,131.623,0.326,0.924,0.101,-31.414,0.0644
21,0.95,0.204,0.177,66.12,0.0366,0.875,0.111,-16.339,0.0428
22,0.971,0.204,0.154,114.21,0.0389,0.945,0.103,-25.379,0.0421
24,0.987,0.261,0.108,174.106,0.139,0.977,0.209,-17.865,0.0387
26,0.96,0.194,0.0436,138.908,0.0294,0.899,0.105,-31.458,0.039
27,0.862,0.369,0.331,99.924,0.201,0.948,0.0925,-14.678,0.032
28,0.923,0.164,0.0933,129.94,0.0321,0.87,0.109,-22.457,0.04
30,0.88,0.272,0.284,111.642,0.0364,0.892,0.121,-17.183,0.0349
31,0.995,0.536,0.0397,83.998,0.502,0.961,0.108,-22.138,0.0511
32,0.016,0.273,0.903,192.587,0.0784,0.0381,0.0998,-6.116,0.106
34,0.524,0.446,0.606,123.773,0.182,0.13,0.873,-8.338,0.0931
35,0.772,0.501,0.445,80.086,0.388,0,0.117,-8.432,0.0337
37,0.937,0.14,0.0129,69.879,0.126,0.899,0.153,-33.012,0.0365
41,0.00172,0.556,0.542,146.922,0.34,0.249,0.364,-12.308,0.0509
45,0.708,0.194,0.406,180.159,0.305,0.602,0.114,-12.646,0.042
48,0.491,0,0.194,0,0,0.881,0.112,-19.114,0
51,0.862,0.346,0.253,82.442,0.0366,0.951,0.0807,-14.204,0.0461
59,0.996,0.363,0.00498,168.621,0.19,0.931,0.0648,-32.216,0.0479
60,0.723,0.253,0.109,113.484,0.0894,0.641,0.0721,-21.238,0.0355
67,0.988,0.277,0.000637,72.709,0,0.903,0.0964,-33.8,0.0521
69,0.948,0.305,0.0424,100.143,0.0364,0.774,0.084,-26.35,0.0323
72,0.915,0.568,0.186,109.093,0.0373,0.948,0.0668,-15.746,0.0322
79,0.929,0.285,0.347,170.449,0.0392,0.661,0.101,-16.019,0.0466
85,0.963,0.335,0.0688,52.025,0.278,0.843,0.124,-26.686,0.0406
86,0.895,0.0923,0.031,86.636,0.0344,0.916,0.0766,-29.351,0.0454
91,0.0783,0.711,0.774,102.542,0.885,1.60E-06,0.0446,-5.686,0.0389
92,0.00016,0.402,0.944,152.971,0.368,6.91E-06,0.114,-4.732,0.0559
96,0.957,0.309,0.281,105.878,0.103,0.271,0.0815,-12.746,0.0312
97,0.973,0.486,0.361,106.141,0.339,0.93,0.0883,-16.829,0.0288
101,0.847,0.42,0.257,99.984,0.0643,0.887,0.097,-14.524,0.0366
113,0.193,0.25,0.677,96.032,0.034,0.843,0.172,-14.26,0.0389
115,0.916,0.259,0.129,93.626,0.0398,0.684,0.388,-18.872,0.0371
117,9.96E-05,0.248,0.995,150.708,0.429,0,0.53,-4.816,0.183
118,0.511,0.171,0.214,62.568,0.0393,0.587,0.0982,-16.396,0.0372
119,0.819,0.575,0.226,135.361,0.478,0,0.121,-12.637,0.0365
122,0.741,0.634,0.118,133.856,0.474,0.748,0.214,-22.22,0.0351
137,0.21,0.196,0.394,130.899,0.0392,0.945,0.105,-16.016,0.0639
138,0.215,0.526,0.492,90.006,0.199,0.862,0.0762,-11.677,0.0324
140,0.00796,0.694,0.443,120.019,0.642,0,0.0731,-8.136,0.0456
141,0.324,0.44,0.27,125.969,0.039,0.927,0.164,-15.21,0.0376
143,0.171,0.481,0.464,103.97,0.168,0.163,0.13,-9.392,0.0256
144,0.479,0.276,0.261,73.174,0.322,0,0.158,-13.47,0.0475
146,0.988,0.135,0.00168,141.561,0.0372,0.957,0.135,-26.908,0.0708
155,0.972,0.27,0.105,89.963,0.0313,0.963,0.0745,-16.279,0.0378
157,0.567,0.2,0.191,119.905,0.0398,0.738,0.115,-18.767,0.0363
158,0.935,0.551,0.0551,128.569,0.734,0.155,0.152,-32.128,0.0352
164,0.688,0.126,0.0967,147.773,0.0388,0.893,0.105,-24.686,0.0393
165,0.97,0.424,0.252,130.111,0.0359,0.917,0.103,-15.392,0.0346
167,0.975,0.418,0.0585,98.185,0.236,0.00287,0.115,-15.772,0.0329
168,0.823,0.238,0.105,156.519,0.0754,0.671,0.096,-20.754,0.0388
170,0.497,0.636,0.296,120,0.0695,0.968,0.132,-16.046,0.0346
171,0.676,0.163,0.32,85.258,0.0339,0.579,0.127,-14.166,0.0397
174,0.641,0.32,0.172,150.979,0.163,0.0017,0.192,-11.935,0.0301
179,0.614,0.4,0.469,107.621,0.146,0,0.339,-11.27,0.0331
180,0.192,0.201,0.263,77.416,0.165,5.99E-05,0.0999,-17.928,0.0331
182,0.616,0.382,0.434,114.068,0.484,2.88E-06,0.0455,-10.688,0.0356
187,0.981,0.144,0.0298,102.489,0.0342,0.921,0.174,-27.002,0.0429
190,0.785,0.442,0.239,154.132,0.19,0.578,0.115,-16.335,0.112
195,0.00764,0.164,0.416,86.464,0.0354,0.795,0.096,-12.763,0.0366
198,0.493,0.416,0.546,180.044,0.0336,0.936,0.087,-11.812,0.0522
199,0.933,0.189,0.18,102.497,0.0569,0.577,0.259,-18.694,0.0326
201,0.782,0.188,0.468,114.146,0.0367,0.925,0.0823,-9.132,0.0447
203,0.513,0.135,0.0233,63.008,0.0352,0.909,0.0601,-16.648,0.0429
206,0.956,0.847,0.0552,122.068,0.0411,0.904,0.0919,-23.604,0.0688
211,0.662,0.226,0.512,78.624,0.25,0.000616,0.136,-9.404,0.054
212,0.0738,0.0953,0.372,179.421,0.0503,0.755,0.0972,-16.812,0.0411
217,0.608,0.154,0.162,75.174,0.034,0.877,0.0947,-18.942,0.0416
220,0.73,0.422,0.351,132.317,0.168,0.904,0.0784,-13.002,0.0352
227,0.548,0.159,0.145,75.425,0.0315,0.832,0.0853,-16.816,0.0374
229,0.973,0.256,0.017,111.302,0.106,0.0544,0.0961,-29.288,0.0407
235,0.567,0.2,0.134,122.191,0.0471,0.974,0.107,-17.548,0.0429
236,0.845,0.541,0.252,101.825,0.302,0.000383,0.165,-15.109,0.0322
237,0.015,0.53,0.49,90.395,0.0777,0.95,0.0983,-15.367,0.0357
238,0.0594,0.591,0.8,101,0.404,6.11E-05,0.192,-6.972,0.0725
241,0.0617,0.378,0.612,76.74,0.27,0,0.105,-6.282,0.0403
243,0.939,0.462,0.0904,97.951,0.0338,0.826,0.117,-23.027,0.0364
249,0.383,0.777,0.338,170.286,0.801,0.888,0.103,-11.341,0.0684
250,0.816,0.145,0.23,78.309,0.0327,0.941,0.0771,-17.905,0.0408
258,0.689,0.344,0.482,171.896,0.16,0,0.112,-8.685,0.047
261,0.72,0.482,0.533,127.983,0.157,0.913,0.46,-9.209,0.058
264,0.918,0.608,0.61,124.982,0.162,0.877,0.0887,-10.922,0.0335
265,0.991,0.56,0.00767,66.384,0.206,0.915,0.0737,-24.558,0.0538
267,0.535,0.421,0.46,171.845,0.208,0,0.101,-6.044,0.0344
269,0.0181,0.632,0.619,171.115,0.256,0.88,0.367,-11.486,0.131
275,0.425,0.0784,0.267,82.689,0.0463,0.953,0.103,-14.261,0.033
288,0.995,0.699,0.0155,75.935,0.292,0.934,0.133,-20.047,0.0707
295,0.969,0.242,0.0365,126.343,0.0426,0.906,0.0934,-28.394,0.0379
298,0.884,0.739,0.726,116.032,0.679,0.147,0.0872,-4.854,0.0407
300,0.333,0.569,0.273,81.41,0.235,0,0.127,-16.303,0.278
306,0.958,0.276,0.043,63.45,0.0782,0.918,0.0972,-29.739,0.0371
307,0.875,0.571,0.0797,82.579,0.0646,0.908,0.121,-15.202,0.144
309,0.994,0.151,0.023,75.494,0.0421,0.954,0.109,-24.191,0.0603
310,0.903,0.128,0.211,83.165,0.0768,0.023,0.0904,-14.883,0.0382
320,0.98,0.285,0.167,69.591,0.0284,0.895,0.0713,-23.009,0.0704
321,0.989,0.101,0.071,173.733,0.0315,0.966,0.0781,-22.462,0.0483
322,0.798,0.173,0.114,115.903,0.0383,0.93,0.113,-27.712,0.0541
324,0.0273,0.524,0.834,119.968,0.608,0.785,0.167,-9.142,0.051
328,0.735,0.148,0.118,138.196,0.0505,0.808,0.43,-22.263,0.0356
335,0.0948,0.66,0.926,109.997,0.731,0,0.248,-3.452,0.0296
338,0.551,0.164,0.0759,129.578,0.0345,0.87,0.117,-22.34,0.039
341,0.00304,0.362,0.523,104.993,0.288,0.911,0.215,-10.058,0.0323
343,0.891,0.0862,0.0322,82.035,0.0294,0.904,0.115,-32.17,0.0371
348,0.973,0.358,0.217,92.39,0.0696,0.982,0.204,-16.102,0.0314
350,0.385,0.106,0.207,74.389,0.0335,0.758,0.0882,-17.466,0.0382
358,0.967,0.348,0.0329,72.241,0.279,0,0.116,-16.271,0.0413
361,0.988,0.0672,0.131,72.506,0.0305,0.872,0.0671,-26.872,0.0483
