,ID,title,music_director,album_name,track_name,preview_url,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
0,1,Inception,Hans Zimmer,Inception (Music From The Motion Picture),Time,https://p.scdn.co/mp3-preview/eb463247243646de10aa4d9b3f2c0c8b836c1dc8?cid=0e18970867524f1fba6634279dd9e5b2,73,0.155,0.221,0.0879,126.622,0.0401,0.698,0.0869,-16.996,0.0381
1,2,The Matrix,Don Davis,The Matrix Symphony,The Matrix Symphony: 1. The Matrix,https://p.scdn.co/mp3-preview/246d8c1287fa0ffc6c16f517ff95c793eb664033?cid=0e18970867524f1fba6634279dd9e5b2,9,0.881,0.091,0.279,76.256,0.0372,0.916,0.105,-16.499,0.0412
2,3,Avengers: Infinity War,Alan Silvestri,Avengers: Infinity War (Original Motion Picture Soundtrack / Deluxe Edition),Porch,,53,0.912,0.127,0.0355,65.659,0.0834,0.594,0.119,-28.803,0.0447
3,4,Back to the Future,Alan Silvestri,"Suite (From ""Back to the Future"")","Suite (From ""Back to the Future"")",https://p.scdn.co/mp3-preview/6ea6ffaf6fdbda4465fa72252d2a3cf4fe827f42?cid=0e18970867524f1fba6634279dd9e5b2,25,0.87,0.197,0.499,79.723,0.148,0.776,0.0398,-9.874,0.0581
4,5,"The Good, the Bad and the Ugly",Ennio Morricone,"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly",https://p.scdn.co/mp3-preview/877d06cb3206d0b98aaab6c9bc4e71b662cf10ee?cid=0e18970867524f1fba6634279dd9e5b2,0,0.971,0.776,0.106,119.929,0.155,0.765,0.0825,-17.246,0.0794
5,6,Spider-Man: Into the Spider-Verse,Daniel Pemberton,Spider-Man: Into the Spider-Verse (Original Score),Only One Spider-Man,https://p.scdn.co/mp3-preview/28965d0966346e245c6398ac43e708dd25f06663?cid=0e18970867524f1fba6634279dd9e5b2,50,0.00148,0.635,0.686,145.101,0.713,0.933,0.0684,-10.361,0.0887
6,9,Raiders of the Lost Ark,John Williams,Raiders of the Lost Ark (Original Motion Picture Soundtrack),Washington Ending / Raiders March,,38,0.813,0.31,0.346,131.117,0.152,0.91,0.107,-11.232,0.0392
8,11,Taxi Driver,Bernard Herrmann,Bernard Herrman Films Scores (From Citizen Kane to Taxi Driver),"Medley: Prelude / The Murder / Finale - From ""Psycho""",https://p.scdn.co/mp3-preview/571e3043451b70007dda26f5bc9b2f39de735cb8?cid=0e18970867524f1fba6634279dd9e5b2,21,0.877,0.236,0.0113,89.751,0.0374,0.3,0.0789,-31.226,0.0439
9,12,3 Idiots,Shantanu Moitra,3 Idiots (Original Motion Picture Soundtrack),Give Me Some Sunshine,https://p.scdn.co/mp3-preview/513293ff19829e189fa2ecda713a0cee28263cb2?cid=0e18970867524f1fba6634279dd9e5b2,60,0.393,0.668,0.616,97.986,0.566,6.31E-06,0.092,-7.925,0.0582
10,13,Pan's Labyrinth,Javier Navarrete,Pan's Labyrinth (Original Motion Picture Soundtrack),Pan's Labyrinth Lullaby,https://p.scdn.co/mp3-preview/f84421925786b272ee7f5538ba61277e7fcb09f6?cid=0e18970867524f1fba6634279dd9e5b2,45,0.89,0.284,0.0863,70.79,0.0796,0.0889,0.0803,-20.316,0.0428
11,14,Room,Stephen Rennicks,Room (Original Motion Picture Soundtrack),In the World,https://p.scdn.co/mp3-preview/e6f573a949e7eaad1b1a75d26c1409adc979c74f?cid=0e18970867524f1fba6634279dd9e5b2,25,0.987,0.109,0.104,70.956,0.117,0.903,0.0926,-14.72,0.0338
12,17,Indiana Jones and the Last Crusade,John Williams,Indiana Jones and the Last Crusade (Original Motion Picture Soundtrack),Scherzo for Motorcycle and Orchestra,,36,0.908,0.445,0.511,92.212,0.325,0.917,0.156,-10.056,0.0408
14,19,The King's Speech,Alexandre Desplat,The King's Speech OST,Speaking Unto Nations (Beethoven Symphony no 7 - II ),,52,0.513,0.093,0.0249,79.369,0.0365,0.805,0.0831,-20.74,0.0463
15,20,Her,Arcade Fire,Her (Original Score),Song on the Beach,https://p.scdn.co/mp3-preview/d512ea83592df88a3539deaffebb4190a764257c?cid=0e18970867524f1fba6634279dd9e5b2,54,0.986,0.599,0.00379,131.623,0.326,0.924,0.101,-31.414,0.0644
16,21,There Will Be Blood,Jonny Greenwood,There Will Be Blood (Music from the Motion Picture),Open Spaces,https://p.scdn.co/mp3-preview/895b784af6e0af2a603320b4ecd5280e54f13c10?cid=0e18970867524f1fba6634279dd9e5b2,31,0.95,0.204,0.177,66.12,0.0366,0.875,0.111,-16.339,0.0428
17,22,The Social Network,Trent Reznor,The Social Network,Hand Covers Bruise,https://p.scdn.co/mp3-preview/578eb91d392f872333f6d6964bf6f68147c99715?cid=0e18970867524f1fba6634279dd9e5b2,51,0.971,0.204,0.154,114.21,0.0389,0.945,0.103,-25.379,0.0421
18,24,The Perks of Being a Wallflower,Michael Brook,The Perks of Being a Wallflower (Original Score),Home Again,https://p.scdn.co/mp3-preview/8e4faa124d94a9c6fd521a2f68b00de9efd7a1f5?cid=0e18970867524f1fba6634279dd9e5b2,37,0.987,0.261,0.108,174.106,0.139,0.977,0.209,-17.865,0.0387
20,26,Ex Machina,Geoff Barrow,Ex Machina (Original Motion Picture Soundtrack),The Turing Test,https://p.scdn.co/mp3-preview/3d7f93b49fc6d9c971917c3e6d7253f87f95227a?cid=0e18970867524f1fba6634279dd9e5b2,41,0.96,0.194,0.0436,138.908,0.0294,0.899,0.105,-31.458,0.039
21,27,Silver Linings Playbook,Danny Elfman,Silver Linings Playbook (Original Score),Happy Ending,https://p.scdn.co/mp3-preview/2c242d08f79d58c4c2c530399540a12c274aeae8?cid=0e18970867524f1fba6634279dd9e5b2,27,0.862,0.369,0.331,99.924,0.201,0.948,0.0925,-14.678,0.032
22,28,District 9,Clinton Shorter,District 9 (Original Motion Picture Soundtrack),Prawnkus,https://p.scdn.co/mp3-preview/dc6c8687518893e94b2ddd65bb500323d94c534b?cid=0e18970867524f1fba6634279dd9e5b2,43,0.923,0.164,0.0933,129.94,0.0321,0.87,0.109,-22.457,0.04
23,30,Moon,Clint Mansell,Moon (Original Score),Welcome to Lunar Industries,https://p.scdn.co/mp3-preview/8cb269eff5e12d893c06f7644ec0e675037d73ce?cid=0e18970867524f1fba6634279dd9e5b2,48,0.88,0.272,0.284,111.642,0.0364,0.892,0.121,-17.183,0.0349
24,31,Marriage Story,Randy Newman,Marriage Story (Original Music from the Netflix Film),Sgt. Pepper Shoelaces,https://p.scdn.co/mp3-preview/a8c7a9bac7391a6f9dcf6ab8115870ccba74b1b8?cid=0e18970867524f1fba6634279dd9e5b2,40,0.995,0.536,0.0397,83.998,0.502,0.961,0.108,-22.138,0.0511
25,32,Drive,Cliff Martinez,I Drive (Waveshaper Remix) [The Rise of the Synths Presents],I Drive (Waveshaper Remix) [The Rise of the Synths Presents],https://p.scdn.co/mp3-preview/9bb8cc30f829e94bfb685fa0842d67fe82f228ae?cid=0e18970867524f1fba6634279dd9e5b2,17,0.016,0.273,0.903,192.587,0.0784,0.0381,0.0998,-6.116,0.106
27,34,Incredibles 2,Michael Giacchino,Incredibles 2 (Original Motion Picture Soundtrack),Incredits 2,,25,0.524,0.446,0.606,123.773,0.182,0.13,0.873,-8.338,0.0931
28,35,Dangal,Pritam Chakraborty,Dangal (Original Motion Picture Soundtrack),Naina,https://p.scdn.co/mp3-preview/534433be09560f3876589e986fc628de0c4b4b30?cid=0e18970867524f1fba6634279dd9e5b2,64,0.772,0.501,0.445,80.086,0.388,0,0.117,-8.432,0.0337
30,37,Minority Report,John Williams,Minority Report,Sean's Theme - Minority Report Soundtrack,,16,0.937,0.14,0.0129,69.879,0.126,0.899,0.153,-33.012,0.0365
33,41,Despicable Me,Heitor Pereira,Despicable Me 3 (Original Motion Picture Score),Evil Bratt Show,https://p.scdn.co/mp3-preview/edde11e572d728870073cc23706715e9abcf1c13?cid=0e18970867524f1fba6634279dd9e5b2,15,0.00172,0.556,0.542,146.922,0.34,0.249,0.364,-12.308,0.0509
37,45,Indiana Jones and the Temple of Doom,John Williams,Indiana Jones and the Temple of Doom (Original Motion Picture Soundtrack),End Credits,,32,0.708,0.194,0.406,180.159,0.305,0.602,0.114,-12.646,0.042
39,48,Senna,Antonio Pinto,Original Music From The Motion Picture Senna,God - Senna Theme,,34,0.491,0,0.194,0,0,0.881,0.112,-19.114,0
