ID,acousticness_norm,danceability_norm,energy_norm,tempo_norm,valence_norm,instrumentalness_norm,liveness_norm,loudness_norm,speechiness_norm
1,0.155617352,0.243660419,0.08775769,0.585050987,0.041212744,0.700803213,0.068184472,0.631773132,0.041144708
2,0.88453745,0.100330761,0.279941028,0.352337256,0.038232271,0.919678715,0.089316988,0.643757988,0.044492441
3,0.915662137,0.140022051,0.035060637,0.303374317,0.085714286,0.596385542,0.10566258,0.347054426,0.048272138
4,0.873493206,0.217199559,0.501188198,0.368356366,0.152106886,0.779116466,0.013193228,0.803515879,0.062742981
5,0.974899446,0.855567806,0.105960298,0.554126295,0.159301131,0.768072289,0.063047285,0.625744532,0.08574514
6,0.001479868,0.700110254,0.689248293,0.670432336,0.7327852,0.936746988,0.046584939,0.791772167,0.095788337
9,0.816263942,0.341786108,0.347320848,0.605819922,0.156217883,0.913654618,0.091652072,0.770768526,0.042332613
11,0.880521361,0.260198456,0.010723448,0.414690268,0.038437821,0.301204819,0.058844133,0.288625238,0.047408207
12,0.39457463,0.736493936,0.618851466,0.452739698,0.581706064,6.34E-06,0.074138938,0.850514842,0.062850972
13,0.89357365,0.313120176,0.08614862,0.327081861,0.081808839,0.089257028,0.060478692,0.551713328,0.046220302
14,0.9909638,0.120176406,0.10394896,0.327848856,0.12024666,0.906626506,0.074839463,0.686657503,0.03650108
17,0.911646049,0.490628445,0.513256225,0.426061203,0.334018499,0.920682731,0.148861646,0.799127059,0.044060475
19,0.51505729,0.102535832,0.024400546,0.366720726,0.037512847,0.808232932,0.063747811,0.541488823,0.05
20,0.989959778,0.660418964,0.003170874,0.608157872,0.335046249,0.927710843,0.084646818,0.284091731,0.069546436
21,0.95381498,0.22491731,0.177362794,0.305504346,0.037615622,0.878514056,0.096322242,0.647616292,0.046220302
22,0.974899446,0.22491731,0.154232408,0.527701925,0.039979445,0.948795181,0.086981903,0.429622127,0.045464363
24,0.9909638,0.287761852,0.107971636,0.804448572,0.142857143,0.980923695,0.210741389,0.610817719,0.041792657
26,0.963855202,0.213891951,0.043206555,0.641817871,0.030215827,0.902610442,0.089316988,0.283030698,0.042116631
27,0.865461029,0.406835722,0.332235813,0.461694135,0.206577595,0.951807229,0.074722709,0.687670308,0.034557235
28,0.926706381,0.180815877,0.093188302,0.600381649,0.03299075,0.873493976,0.093987157,0.5000844,0.043196544
30,0.883533428,0.299889746,0.284969372,0.515836602,0.037410072,0.895582329,0.107997665,0.627263739,0.037688985
31,0.998995978,0.590959206,0.039284446,0.388108802,0.515930113,0.964859438,0.092819615,0.507776894,0.055183585
32,0.01605827,0.300992282,0.907478456,0.889839162,0.08057554,0.038253012,0.083245768,0.89413779,0.114470842
34,0.526101534,0.491730981,0.608794776,0.571887316,0.18705036,0.130522088,0.985989492,0.840555596,0.100539957
