,ID,0,1,2,3,4,5,6,7
0,1,Action,Adventure,Sci-Fi,Thriller,,,,
1,2,Action,Sci-Fi,,,,,,
2,3,Action,Adventure,Sci-Fi,,,,,
3,4,Adventure,Comedy,Sci-Fi,,,,,
4,5,Western,,,,,,,
5,6,Animation,Action,Adventure,Family,Sci-Fi,,,
6,9,Action,Adventure,,,,,,
8,11,Crime,Drama,,,,,,
9,12,Comedy,Drama,,,,,,
10,13,Drama,Fantasy,War,,,,,
11,14,Drama,Thriller,,,,,,
12,17,Action,Adventure,,,,,,
14,19,Biography,Drama,History,,,,,
15,20,Drama,Romance,Sci-Fi,,,,,
16,21,Drama,,,,,,,
17,22,Biography,Drama,,,,,,
18,24,Drama,Romance,,,,,,
20,26,Drama,Mystery,Sci-Fi,Thriller,,,,
21,27,Comedy,Drama,Romance,,,,,
22,28,Action,Sci-Fi,Thriller,,,,,
23,30,Drama,Mystery,Sci-Fi,,,,,
24,31,Comedy,Drama,Romance,,,,,
25,32,Crime,Drama,,,,,,
27,34,Animation,Action,Adventure,Comedy,Family,Sci-Fi,,
28,35,Action,Biography,Drama,Sport,,,,
30,37,Action,Crime,Mystery,Sci-Fi,Thriller,,,
33,41,Animation,Comedy,Family,Fantasy,,,,
37,45,Action,Adventure,,,,,,
39,48,Documentary,Biography,Sport,,,,,
42,51,Crime,Drama,Mystery,Thriller,Western,,,
48,59,Action,Drama,Sci-Fi,Thriller,,,,
49,60,Drama,Family,Fantasy,Mystery,,,,
56,67,Biography,Crime,Drama,,,,,
57,69,Action,Crime,Drama,,,,,
58,72,Action,Crime,Drama,Thriller,,,,
63,79,Drama,,,,,,,
67,85,Comedy,Drama,,,,,,
68,86,Action,Drama,War,,,,,
72,91,Biography,Comedy,Drama,,,,,
73,92,Action,Adventure,Drama,Fantasy,Romance,,,
76,96,Biography,Comedy,Drama,,,,,
77,97,Documentary,Sport,Thriller,,,,,
80,101,Comedy,Drama,History,,,,,
86,113,Action,Thriller,,,,,,
88,115,Drama,Romance,,,,,,
90,117,Horror,Music,Thriller,,,,,
91,118,Animation,Action,Adventure,Comedy,Family,Fantasy,,
92,119,Comedy,Drama,Musical,Mystery,Romance,Western,,
93,122,Animation,Action,Adventure,Family,Mystery,,,
101,137,Action,Adventure,Sci-Fi,,,,,
102,138,Biography,Drama,,,,,,
103,140,Animation,Action,Adventure,Comedy,Family,Fantasy,,
104,141,Drama,,,,,,,
105,143,Crime,Drama,,,,,,
106,144,Drama,War,,,,,,
108,146,Crime,Drama,Thriller,,,,,
