music_director,id
Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ
Don Davis,3eCpCUtYdBCM1twAb4mk8I
Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA
Ennio Morricone,1nIUhcKHnK6iyumRyoV68C
Daniel Pemberton,7LbEDjJKrmWoMcN3OpaNnR
John Williams,3dRfiJ2650SZu6GbydcHNb
Mary Ramos,7Ji1NR68wjWrbK0IBoPML6
Bernard Herrmann,5bUj39bg0zEbRzjUEISMG9
Shantanu Moitra,6hpDlOvqsnIxrPegGTWVY1
Javier Navarrete,6Ayc7FBYR3HjkGQb7SZrzQ
Stephen Rennicks,1qwshnqmsxCWhZAnBIISeL
George Fenton,0NdNx5JwLDvas2LsMVTSyQ
Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB
Jonny Greenwood,0z9s3P5vCzKcUBSxgBDyLU
Trent Reznor,6cadOIa5DTh6a5mGo5r4bh
Michael Brook,5NTEVDdw1KuWN3cUX3kZ1y
Geoffrey Burgon,46p1LVHDqfnYeFVM8ISmMv
Geoff Barrow,53b2a4ytPlelgBJYLLocWh
Danny Elfman,5qBZETtyzfYnXOobDXbmcD
Clinton Shorter,23Vu6ClvSnmNSbz3ODd3iJ
Clint Mansell,01xiB0IlXMXy3wrrotgDnU
Randy Newman,3HQyFCFFfJO3KKBlUfZsyW
Cliff Martinez,2OVqg3lxC8ZIf0vHcEqaCf
Jang Young-gyu,2sanmWGxfxz9qOji37W00z
Michael Giacchino,4kLvhMAuCloLxoP1aVM7Lr
Pritam Chakraborty,1wRPtKGflJrBx9BmLsSwlU
Alfonso Gonzalez Aguilar,5vNEteJWAaoHdm5Hdcyibv
Clint Eastwood,5NfaORyb548xmt85LGHYFV
Alf Clausen,204ZU9CffrFSErXPVD8vue
Heitor Pereira,2RaHCHhZWBXn460JpMaicz
Nick Cave,4UXJsSlnKd7ltsrHebV79Q
John Debney,7mCsyzq823cXJ5puxUN3aJ
Kenji Kawai,0lzVrkjlIZJH18hk2Gcjkp
Andrea Guerra,2RH4zVV2q0H5iVnfSl7XFz
Antonio Pinto,7jBJcoFeQkHaqrJBIZsd5h
Nigel Godrich,0g7gHEXKEHU4snTwOZSxNO
Jon Brion,57YJQe0ayvIaRZJ3PW5nFP
Ludovic Bource,4Lx6uOxQ4XKD1ljjST8NTD
Leslie Bricusse,6WYFvZo9oPFiHYMjEluhG3
Bjorn Isfalt,30Y14efNTKd7j3vp1pck3y
Marco Beltrami,7yAPsqNhqqsTGsuOSZJg0i
Howard Shore,0OcclcP5o8VKH2TRqSY2A7
Christophe Beck,1GjWNGbMtHDQ7CNYf2d7cw
Rodriguez,5PrHzxc3kFm4hIrGNmelpX
Thomas Newman,1csBgT42N4pPPs1HJhxXIK
Joe Wong,62TZuRSv7K8KK5BmL90K32
Dave Porter,1WkfFuCfD2BnsiyPElbEv5
David Sardy,0np7Gr66erHdUHa86JX1bj
Joseph LoDuca,7K8ZZVUXpoWs9KH9VAoVhi
Nick Laird-Clowes,56OlOgSvpY0dGFjQaZhGAC
Ira Newborn,665KyJHrkWF8QJ94IyHKKZ
David Wingo,7mRf8eSpaoh4FD8D4mtvRk
Mike Shields,4jWcp8jMV8bggkTcsp1tqm
Bryce Dessner,5HHKeO04SOcxUxjruFXf5l
Jason Moran,7g3iwvP459BN53F7CDxemI
Adam Crystal,25reUnj1GP4HIRCcGtf5w3
Scott Bomar,76U2ctIFClRwEXVv28BVtk
David Newman,1dDZTSkKTjksBy9tfsf9ob
Jaeil Jung,34J5kKR5szbJ5fGK7f8HCU
Adam Peters,5p07GMal2RwFDOZergTwrD
Nancy Wilson,2JfVCMa3FlvQRlLT5uH9zb
Christopher Willis,1Qu6r22G2M8Xqz0GawYv8P
Eric Serra,1DptMAbvFajxK4ZObg1OdA
Daniel Lopatin,13PoSkMaBxmC6EeAu2oBhH
Rob Simonsen,2ZeUaZT3s3NSbeV7OS094J
M.M. Keeravani,12l1SqSNsg2mI2IcXpPWjR
Ryan Dodson,7DGPUEdpTMR3iClyv2VjsW
Grizzly Bear,2Jv5eshHtLycR6R8KQCdc4
Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a
Will Blair,1qaepe7DVrHTHCAGRoPIiZ
John Powell,3EAHF3jdnHHdko5DBrhRUP
Carter Burwell,0SbSDzM4X41hnlURed0fcV
David Pirner,6yPKZzirOuI1d5bnRvQHSv
Abel Korzeniowski,5RGAUCWFZyymaMSAZJeice
Graeme Revell,7H6sziUg6YjKlef45qOv8h
Britta Phillips,0IA38jACu3c1SNAJ7Aeu4t
Sophie Hunger,3nOQJdlPEzFVhTEzxwcGax
Dickon Hinchliffe,3SzIzpOIDpgwKNWaKL4FG4
Tony Doogan,19CNrPSP5twBKtPPwDFvmz
Tamar-kali,7JIvYIoSFTMVO2q7FoWO1e
George S. Clinton,7yNXDeNn1rHZaEk941GcWZ
Brooke Blair,1MkCnZKJnLNlLUv2AEclLw
Gustavo Santaolalla,4W3fa7tiXGVXl3KilbACqt
The Newton Brothers,7dlJy6RJTqYprtHmWYBOv3
Mark Isham,5qlzaXu4riV8YLrL97cwyI
Vishal Bhardwaj,1JdHoZwkwOmX2Pl2iTwnzc
David Hirschfelder,5JAUs92Wa8WKj9pnsVVRRY
Alex Somers,51UcKPhDKdKDGIjec0781x
Dan Luscombe,0D3V4C2H1DcTptuQievFAQ
Danny Bensi,7fO0iCzJh7IvVEFiFYfOC2
Patrick Jonsson,5wedfwksIuL9RVB3VpGxcl
Mychael Danna,0x8J72N9ilqcIZbWEKB8T2
Mangesh Dhakde,4zdNcohSOQooKGsNaLAzjJ
Timothy Wynn,2Q7yEF9GmBah7qMbTAkriJ
James Horner,3PhL2Vdao2v8SS8AptuhAr
Klaus Badelt,03GruNQP8X25PCoWzdvIGZ
Harry Gregson-Williams,1BxqJ6pOCi8mkSjCbFYjpW
Michael Andrews,0RkqytrwoGyXGvDiZwT6i2
Anne Dudley,41dLItQx3PSyP6n1AMd87b
Alex Ebert,1me05HW5s7TShHra5nN7uE
Adam Balazs,1Q1NCNa5U65NzGjksLH0Zk
Joseph Bishara,4fVy28K9jDfbyHtPGFYqjk
Cristobal Tapia de Veer,3uUcdriXzvaQapjo3a4DZR
Max Richter,2VZNmg4vCnew4Pavo8zDdW
Roger Neill,5uIsAGdhVwyi5n2HAvlyk9
Andy Hull,1Rule8VpCyWvoSwUQQqGDV
Kotoringo,7lG8E4gKksZFbBPRcAO4E0
Daniel Hart,3T91YntaaHTAKK2GYoTUPW
Patrick Stump,0wsdUS0EJ7zHgti2nxTVWR
Jimmy Lavalle,1W3i3D5iKgKH5Yg2XhXqby
Nathan Matthew David,306pekW0ihKJVqobzcmBC4
Gavin Cullen,6mCKBAD4DqpCVo4tTUiGZb
David Buckley,4XPIcwAIeDGi8lNDSbnGaT
Johan Soderqvist,0Z6bE6kOVhh2DHZPMUz2Sr
Marc Shaiman,4A5NGno1SttXk4vB4SLGHo
Philip Sheppard,6qzi6mPoJU4cBlO76U1Il1
Aria Prayogi,0Bx8mIKYXVFyxUJ1C9qfPr
Sven Faulconer,7KcNvEeatwBdFGU3d9eAUH
Chad Cannon,6uWCfedtEI8DXT7DVwCxj2
Ryan Taubert,79jExF7jUg31BFtXAmru1k
James Newton Howard,2M4eNCvV3CJUswavkhAQg2
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG
Saul Simon MacWilliams,0FlGu9ZnuvVtbtN2Gc9GNg
Christian Wibe,3sPh3kwEL3zqTj6FnjCy2F
Mark Mothersbaugh,5sEDTHJJyDEWVFx99hGSIb
Lyle Workman,2nNBTVuxOW6ZpFtxf4vRT5
Jed Kurzel,0qmPsuVLBgel2EQA4dm7ij
Brocker Way,7luqyCs5ufZ03HQqQeaAJW
Paul Haslinger,5d9PdhcsOsXj0GIM857nvE
Christopher Young,1FMXF1g4Fz2MWDTogFj9EC
Andrew Hewitt,4mMQy7Q3I3lcJXhk1FBy1P
Conrad Pope,4dv7Vcz8DINl6TC179Y7s6
Amit Trivedi,7HCqGPJcQTyGJ2yqntbuyr
Howard Paar,3EM7v06jmbfRWUNoqtP0nh
Mark Everett,6UCSxgEZeOUybcQeru3vQu
Nicholas Pike,7assoBxHmJ5u2UPDSQE6ZC
Ramachandra Borcar,66JM6QvbhVbT1WcRPvjiRL
Marco D'Ambrosio,3Q9ujIlmpnUtIQ5aFOVkhJ
Trevor Morris,5ikWl4mjoiFlLPvkFRZETq
Miles Goodman,6EO3sg6d03gDegWGl2eILt
Joao Eleuterio,1y7VcXeThRKp8T6xajvZQR
James L. Venable,3sPQmJWSvOEeSec8vZtYFN
Deborah Lurie,0zU7G01YKSZImwBPRU9ObN
Tom Howe,5784JqAJvI24V2Kr3xhoX6
Valentin Hadjadj,1fB8FRxj2bxuM2ssxdyFq0
Julian Wass,6QXqARXg4hZ3oAUitm2gU0
Bear McCreary,2ifvIECHAlEgPMBuBOJ0lG
Mike Patton,34Ai24gPz5YJ8NbksiNFef
Ian M Colletti,7GQyON9ihfvM0EhcbdWLHS
Jeff Beal,4J71DltC2dxSTBO9kq14zS
Henry Jackman,5SEW04tNMMrOz7UFQJA6vz
Rick Holets,5nnXnBJvXdXUD6YJw5gJ5j
Steve Jablonsky,5Il8YjuVAWkWNH2xgjFMpF
Pete Anthony,5KKEMrGvNos1TXpuGz9Rbr
Ram Sampath,3PpjqSKBer3obW6lDflOBx
Joel Goodman,2A0ntdSCRRvcg0UB3ADffI
Brian McOmber,6SgmJflkwEjvHIpby6qbP1
Kyle Field,5nOx43Nv2gJ8tcHa0DqOQ1
Jim Copperthwaite,7roEen94bDxXPEhG3DVjej
Alberto Iglesias,1HRRbATgv6NPHs7Twm74p2
Philip Glass,69lxxQvsfAIoQbB20bEPFC
Takatsugu Muramatsu,2FdBheCRIgBMhygsbki1mO
Anne Nikitin,1ZA3IynpePtaBeajOMrFfr
Shirley Walker,6xA7PXadQA9wqRfcs8S5cy
Nathan Johnson,0zWHBQv6knnmZSovIvl6b1
Tyler Strickland,7snYyPFSpX5wsEnrEEEx5u
Grey Dogs,22kCyciiVm1POZQZ4SPCbJ
Alan John,09VaicGZPX9BGrS8VpnCme
Dominique Charpentier,2BDEX7NzONc6kAxVXu9lBa
Carlo Siliotto,4XUkCIS8otulGNjKrtRar7
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E
Mikey McCleary,6p4FpOvJaSSljYGlkKsS40
Irwin Kostal,1HmcCckVaFw44DHhZKuKgN
Ralf Wengenmayr,407ug053TsZjsjmzcGHaSZ
Bruno Coulais,5kjb55jtwPnbYXXDvP4x7R
Ben Lovett,0cVU7btrDj2wgm5sBj4LFv
Ben Frost,6qEM4txXHvfMbOUOK9L7pl
Aaron Zigman,74M3iphMpn1MA2YUe2Iigb
Junkie XL,5svDnd8joFhbpbA3Ar0CfN
Rachel Portman,1joFZGTRER78nUsWtgHCHR
Lorne Balfe,6dU7gPN2BhEPfO5QHLt7es
Cezary Skubiszewski,1sd3HsherSiotPlHChHZaK
Mark Degli Antoni,6o18C1Sq52uiMCFHAmgTCi
Nathan Larson,1Iu1TxDKUo4cvo85jnWaRH
Marc Streitenfeld,02qXVbvAMyWhdHb2GfUcXM
BT,3Nrfpe0tUJi4K4DXYWgMUX
Ken Myhr,5Nz3oRYcrM6Do6gZYd6wuJ
Luke Jennings,55ICWf7qOjwTPsmlYEswh7
Elliot Goldenthal,0ObFwq8w8SfMs0xQqafq6y
Alec Harrison,2ySSat7Ssn6gI0xyZyOMb0
David Arnold,0mCdmt2O8dd8jJWv7m24EE
Osei Essed,3NNWqOS9fDEE7Xs0lwf1Ov
Nathan Barr,0e0qyGBSGh9YwvpQFbkRBC
Samuel Jones,39h4tDqRyZAn0LJRbnRREN
Gavin Brivik,1Bmvy1kf1fNMyGNWchCQXn
Demusmaker,04YHyUbd7Ic47Zi2LtPzuv
Ishai Adar,11mjRuIHj66yuPVWhWyfAZ
Chris Roe,5KEG7G8LDYlHgFDqZyEEs2
Ludovico Einaudi,2uFUBdaVGtyMqckSeCl0Qj
Ilan Eshkeri,147dKKwnUn9qesNx8uAs3Z
Nigel Westlake,49bnfbvLYFN3S29cK5ttgx
Michael Kamen,68bqsIINo5RFICYwbkChbb
Daniel Wohl,2Rzi5GaKkOxSJsLd9R0HPG
Clinton Cerejo,2j9QVMZlqIj4Cb9UISBrXK
Rolfe Kent,3B0bZAXnHTpGuPsuQo5fEd
David Kitay,4iuhN8fFgwQGPrzRXUY46O
John Massari,29walRLKlG7M9KUGnhYkDw
Jason Graves,0kZQLbj8h2SMVZHUJSbfBQ
James Murphy,03XnX4XEVVtZNUBSdUlzsB
Nathaniel Mechaly,4zOhshnJo8r5Bk7sw42Rgn
Anthony Di Lorenzo,4REYezuyf4RjDfw6vW6dLz
Terence Blanchard,7IbO8NvxclKsk7WTOZ42bv
Michael Cudahy,6d4iGguTZ3YYqM5yBf4FGf
Bryan Senti,4QSmk1Bll3nbQfsjTe7vIR
Andrew Swarbrick,0Z79HmvMBiyaITjzJihjPm
Harald Kloser,7CrDa4z7UgtWJSGLlzyYV8
Anton Sanko,5scQSrIKJHCtLcIaBAqKFh
Andrew Feltenstein,5qJovEanCVwF7BEFibJQjx
Day Tai,6KrqYpHc3yCo5PdfZgkrZr
Federico Jusid,4Bjfwb6PiXwqru4DHOMwIq
Dave Lebolt,7lf4oQdww9xJEW4WF4UD43
Dan Romer,5ppJZFMF0gAfrHfZTGuHe4
Xiaotian Shi,1bqsWoMw88Wd0Z9k4TpV9l
Keegan DeWitt,1QkkfXx0WxSxmUIQOkSWa2
Trevor Rabin,23ukNzhMiRiYgORi3n3RJq
Rupert Gregson-Williams,2vuXYcTqreOLLnlKtMV5UG
Cliff Eidelman,1PKDFW9NYJiuVuC5mOOeaa
Ramon Balcazar,4BXSMAt7Nfi9P7r2xQ9oAf
Rohan Pradhan,5OvvUIcEWpnKuP0F3HoRce
Peter Henry Phillips,6AeUehBSY9sVz1UPIdghsb
Randy Edelman,3shMd6Vll0mOcviQ3hrk8m
James Everett,1pB9Fwmunj06HKzYxHmYyu
Nick Zammuto,2NPYeG0OjvRTOD6fRvCTQs
Yasuaki Shimizu,0Q14t6kRnPv4av49Rz5o6e
Bryony Marks,4WpfxnvI0esrMTyPevUppy
Michael Emet,1qipbZABNH2dD5D43IJkiE
Roc Chen,5XFVantXu2sd3CQ5xY1WW4
Garth Stevenson,0SFz7AVtevccdhXj6aeVka
Peter Nashel,0iqJjncCjfGcGFKxMdLvhn
Will Musser,3dO2hniUFrQXRquoHOjYaM
Nitin Sawhney,5NCKpzuowtihcIrIHFjKbJ
Pascal Gaigne,7mgRL2bdlP1tj9F9JcK6Hf
Craig Armstrong,526q7RxT5KA1VGeQ5GMSHO
Mathias Duplessy,43aKbycIA40vHixe0yBZJx
Dan Jones,1GjDzWTLT3ED9H801T87UE
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O
John Avarese,61arGI5m8J4MacRiwHPMZW
Jeff Cardoni,6z9vVCxeBfXZfS5FEzUnu0
Andre Dziezuk,13kVSHRCwEbZtqdwxU7RX5
Blake Neely,4UOzqO0jZUrTiTunfBw4tp
Phil Mossman,68kBh6ko3jG2ZMkfZB2tIe
Ralph Burns,3kt1xo56PyGb13t2OCf08h
Marcus Miller,6fmq5mv6HnduZdlTOEYBC9
10K Islands,21LoADaEkprVuED9XbWCu1
Charlie Clouser,1ZVa9Tz7T3lR30I6r7mhhf
Steven Price,3sw7CBftCnflJN8HQiUNmK
Hildur Gudnadottir,2lD1D6eEh7xQdBtnl2Ik7Y
Alex Heffes,35eFG2HfFuoxcJYZwt80ZA
Spencer David Hutchings,7BgUKdPIkSS3bCXmmXi2ns
