,feature,importance,cluster
0,instrumentalness,0.8344500451054422,0.0
1,loudness,0.7134790302040817,0.0
2,tempo,0.545889788085034,0.0
3,energy,0.4782298702040816,0.0
4,danceability,0.45174268164965986,0.0
5,acousticness,0.24486391557142861,0.0
6,valence,0.21882948451360545,0.0
7,liveness,0.1409648506122449,0.0
8,speechiness,0.0526887645,0.0
9,acousticness,0.7641077551690821,1.0
10,loudness,0.6767179441111111,1.0
11,tempo,0.4918141311111111,1.0
12,danceability,0.44286467571980676,1.0
13,energy,0.2614125730193237,1.0
14,valence,0.2454399213236715,1.0
15,liveness,0.1664644618695652,1.0
16,instrumentalness,0.12456584557487926,1.0
17,speechiness,0.07325361799033817,1.0
18,acousticness,0.8746063924363376,2.0
19,instrumentalness,0.8743572286251788,2.0
20,loudness,0.5381361280643777,2.0
21,tempo,0.4780503401988555,2.0
22,danceability,0.2911314478211732,2.0
23,energy,0.15402955068955648,2.0
24,liveness,0.11042177675250357,2.0
25,valence,0.0948566958769671,2.0
26,speechiness,0.04687875611731045,2.0
27,loudness,0.8418590342026144,3.0
28,energy,0.6737097213006537,3.0
29,danceability,0.6607072082679739,3.0
30,valence,0.571517911764706,3.0
31,tempo,0.5643551326078432,3.0
32,acousticness,0.1940045360915032,3.0
33,liveness,0.14281408221568628,3.0
34,speechiness,0.0898106974771242,3.0
35,instrumentalness,0.042648322607843236,3.0
