,title,music_director,artist_id,album_uri
0,Inception,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,spotify:album:2qvA7HmSg1iM6XMiFF76dp
1,The Matrix,Don Davis,3eCpCUtYdBCM1twAb4mk8I,spotify:album:5vjpOYcCpXCWD0C2DKyqOS
2,Avengers: Infinity War,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,spotify:album:6Ltf5m1jvSomNQ0bhfuj5O
3,Back to the Future,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,spotify:album:205IlNRgW39tVyIKn1u7ek
4,"The Good, the Bad and the Ugly",Ennio Morricone,1nIUhcKHnK6iyumRyoV68C,spotify:album:7AOc5FtspkyvtF1eNUcnLx
5,Spider-Man: Into the Spider-Verse,Daniel Pemberton,7LbEDjJKrmWoMcN3OpaNnR,spotify:album:5KP2NReDL2Bv0QLzHSvUwM
6,Raiders of the Lost Ark,John Williams,3dRfiJ2650SZu6GbydcHNb,spotify:album:6c37nZLIRbHWwBIIv6QI1p
7,Inglourious Basterds,Mary Ramos,7Ji1NR68wjWrbK0IBoPML6,
8,Taxi Driver,Bernard Herrmann,5bUj39bg0zEbRzjUEISMG9,spotify:album:5skqG082OVE59trg3zCRIx
9,3 Idiots,Shantanu Moitra,6hpDlOvqsnIxrPegGTWVY1,spotify:album:6JzPRHDXP5soq9zjamRB3f
10,Pan's Labyrinth,Javier Navarrete,6Ayc7FBYR3HjkGQb7SZrzQ,spotify:album:5b5tWFo32wYBLMweeiL8vE
11,Room,Stephen Rennicks,1qwshnqmsxCWhZAnBIISeL,spotify:album:5cfcDVGZ2re3JyJgOiddxu
12,Indiana Jones and the Last Crusade,John Williams,3dRfiJ2650SZu6GbydcHNb,spotify:album:57JDZNjlc0W3oQJjOscraH
13,Groundhog Day,George Fenton,0NdNx5JwLDvas2LsMVTSyQ,
14,The King's Speech,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,spotify:album:44jCEaOBXfvbmTDMXLphji
15,Her,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,spotify:album:7xBJ2XXlDFfACXAnOE86t8
16,There Will Be Blood,Jonny Greenwood,0z9s3P5vCzKcUBSxgBDyLU,spotify:album:4lCAui1nwxoRBksYiiKjxm
17,The Social Network,Trent Reznor,6cadOIa5DTh6a5mGo5r4bh,spotify:album:1ijkFiMeHopKkHyvQCWxUa
18,The Perks of Being a Wallflower,Michael Brook,5NTEVDdw1KuWN3cUX3kZ1y,spotify:album:6NTkwjInSw1XYLToYeY7HH
19,Life of Brian,Geoffrey Burgon,46p1LVHDqfnYeFVM8ISmMv,
20,Ex Machina,Geoff Barrow,53b2a4ytPlelgBJYLLocWh,spotify:album:73JQnkZK21PuqE4qF3TLJE
21,Silver Linings Playbook,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,spotify:album:6xjshdtSVHnwzETdhKPPLY
22,District 9,Clinton Shorter,23Vu6ClvSnmNSbz3ODd3iJ,spotify:album:3F4kQDXbqW842P77PeXcaR
23,Moon,Clint Mansell,01xiB0IlXMXy3wrrotgDnU,spotify:album:0ux9vxJhJoFKaD66UH3160
24,Marriage Story,Randy Newman,3HQyFCFFfJO3KKBlUfZsyW,spotify:album:1EZbgvaW3e8FQ3nkobmOT7
25,Drive,Cliff Martinez,2OVqg3lxC8ZIf0vHcEqaCf,spotify:album:1CDFWWdlW84M8iV3igeSa7
26,Train to Busan,Jang Young-gyu,2sanmWGxfxz9qOji37W00z,
27,Incredibles 2,Michael Giacchino,4kLvhMAuCloLxoP1aVM7Lr,spotify:album:3IHbzhwVY9IMUfjbxRqNpa
28,Dangal,Pritam Chakraborty,1wRPtKGflJrBx9BmLsSwlU,spotify:album:3xK8rPlzF8LDHIIVYsDJUD
29,Klaus,Alfonso Gonzalez Aguilar,5vNEteJWAaoHdm5Hdcyibv,
30,Minority Report,John Williams,3dRfiJ2650SZu6GbydcHNb,spotify:album:03NRsUyn4zsR81Tk3cDffW
31,Mystic River,Clint Eastwood,5NfaORyb548xmt85LGHYFV,
32,Ferris Bueller's Day Off,Alf Clausen,204ZU9CffrFSErXPVD8vue,
33,Despicable Me,Heitor Pereira,2RaHCHhZWBXn460JpMaicz,spotify:album:53ZqGGkT3kztvFZoHwlneT
34,Hell or High Water,Nick Cave,4UXJsSlnKd7ltsrHebV79Q,
35,Sin City,John Debney,7mCsyzq823cXJ5puxUN3aJ,
36,Ip Man,Kenji Kawai,0lzVrkjlIZJH18hk2Gcjkp,
37,Indiana Jones and the Temple of Doom,John Williams,3dRfiJ2650SZu6GbydcHNb,spotify:album:41sETAIYdCFy0MaGnaFPFQ
38,The Pursuit of Happyness,Andrea Guerra,2RH4zVV2q0H5iVnfSl7XFz,
39,Senna,Antonio Pinto,7jBJcoFeQkHaqrJBIZsd5h,spotify:album:71j2ZNSAk1jkbagJcpy8IL
40,Scott Pilgrim vs. the World,Nigel Godrich,0g7gHEXKEHU4snTwOZSxNO,
41,Magnolia,Jon Brion,57YJQe0ayvIaRZJ3PW5nFP,
42,The Hateful Eight,Ennio Morricone,1nIUhcKHnK6iyumRyoV68C,spotify:album:0RZh48QBbgp9KLJPxBl4fs
43,The Artist,Ludovic Bource,4Lx6uOxQ4XKD1ljjST8NTD,
44,Back to the Future Part II,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,
45,Willy Wonka & the Chocolate Factory,Leslie Bricusse,6WYFvZo9oPFiHYMjEluhG3,
46,What's Eating Gilbert Grape,Bjorn Isfalt,30Y14efNTKd7j3vp1pck3y,
47,The Curious Case of Benjamin Button,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,
48,Snowpiercer,Marco Beltrami,7yAPsqNhqqsTGsuOSZJg0i,spotify:album:3MDDwF3gIeLN9u7rOOgJeJ
49,Hugo,Howard Shore,0OcclcP5o8VKH2TRqSY2A7,spotify:album:5iql1G4PgnYxse1Vf4mpfc
50,Ant-Man and the Wasp,Christophe Beck,1GjWNGbMtHDQ7CNYf2d7cw,
51,As Good as It Gets,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,
52,Back to the Future Part III,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,
53,Searching for Sugar Man,Rodriguez,5PrHzxc3kFm4hIrGNmelpX,
54,Road to Perdition,Thomas Newman,1csBgT42N4pPPs1HJhxXIK,
55,To All the Boys I've Loved Before,Joe Wong,62TZuRSv7K8KK5BmL90K32,
56,Molly's Game,Daniel Pemberton,7LbEDjJKrmWoMcN3OpaNnR,spotify:album:4jTmFpIf8sSJV4PVbFJiJD
57,El Camino: A Breaking Bad Movie,Dave Porter,1WkfFuCfD2BnsiyPElbEv5,spotify:album:4WrOQtZm7LoK78PzJDCL63
58,End of Watch,David Sardy,0np7Gr66erHdUHa86JX1bj,spotify:album:5CCvrUPr21B5TIcs6Jb0be
59,The Evil Dead,Joseph LoDuca,7K8ZZVUXpoWs9KH9VAoVhi,
60,About Time,Nick Laird-Clowes,56OlOgSvpY0dGFjQaZhGAC,
61,Blue Is the Warmest Color,Lucile Egal,,
62,The Naked Gun: From the Files of Police Squad!,Ira Newborn,665KyJHrkWF8QJ94IyHKKZ,
63,Mud,David Wingo,7mRf8eSpaoh4FD8D4mtvRk,spotify:album:7h6PXzLN0A1PphvpuFXsPW
64,Philadelphia,Howard Shore,0OcclcP5o8VKH2TRqSY2A7,
