,title,music_director,artist_id,album_name,album_uri,track_name,preview_url,most_popular,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
0,Inception,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,Inception (Music From The Motion Picture),spotify:album:2qvA7HmSg1iM6XMiFF76dp,Time,https://p.scdn.co/mp3-preview/eb463247243646de10aa4d9b3f2c0c8b836c1dc8?cid=0e18970867524f1fba6634279dd9e5b2,6ZFbXIJkuI1dVNWvzJzown,73,0.155,0.221,0.0879,126.62200000000001,0.0401,0.698,0.0869,-16.996,0.0381
1,The Matrix,Don Davis,3eCpCUtYdBCM1twAb4mk8I,The Matrix Symphony,spotify:album:5vjpOYcCpXCWD0C2DKyqOS,The Matrix Symphony: 1. The Matrix,https://p.scdn.co/mp3-preview/246d8c1287fa0ffc6c16f517ff95c793eb664033?cid=0e18970867524f1fba6634279dd9e5b2,72Dga8dl4M9aDnq2KEyQ74,9,0.8809999999999999,0.091,0.27899999999999997,76.256,0.0372,0.9159999999999999,0.105,-16.499000000000002,0.0412
2,Avengers: Infinity War,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,Avengers: Infinity War (Original Motion Picture Soundtrack / Deluxe Edition),spotify:album:6Ltf5m1jvSomNQ0bhfuj5O,Porch,,4tU1GfEahdy2NKGviJJuM4,53,0.912,0.127,0.0355,65.65899999999999,0.0834,0.594,0.11900000000000001,-28.803,0.0447
3,Back to the Future,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,"Suite (From ""Back to the Future"")",spotify:album:205IlNRgW39tVyIKn1u7ek,"Suite (From ""Back to the Future"")",https://p.scdn.co/mp3-preview/6ea6ffaf6fdbda4465fa72252d2a3cf4fe827f42?cid=0e18970867524f1fba6634279dd9e5b2,3n0z81c5eX1gMaCJ9bLhnP,25,0.87,0.19699999999999998,0.499,79.723,0.14800000000000002,0.7759999999999999,0.0398,-9.874,0.0581
4,"The Good, the Bad and the Ugly",Ennio Morricone,1nIUhcKHnK6iyumRyoV68C,"The Good, the Bad and the Ugly",spotify:album:7AOc5FtspkyvtF1eNUcnLx,"The Good, the Bad and the Ugly",https://p.scdn.co/mp3-preview/877d06cb3206d0b98aaab6c9bc4e71b662cf10ee?cid=0e18970867524f1fba6634279dd9e5b2,3rBGxdOtyBepvioj1LwRwc,0,0.971,0.7759999999999999,0.106,119.929,0.155,0.765,0.0825,-17.246,0.0794
5,Spider-Man: Into the Spider-Verse,Daniel Pemberton,7LbEDjJKrmWoMcN3OpaNnR,Spider-Man: Into the Spider-Verse (Original Score),spotify:album:5KP2NReDL2Bv0QLzHSvUwM,Only One Spider-Man,https://p.scdn.co/mp3-preview/28965d0966346e245c6398ac43e708dd25f06663?cid=0e18970867524f1fba6634279dd9e5b2,2R0qk2SAxUELOP1DaMwI0O,50,0.00148,0.635,0.6859999999999999,145.101,0.713,0.9329999999999999,0.0684,-10.360999999999999,0.0887
6,Raiders of the Lost Ark,John Williams,3dRfiJ2650SZu6GbydcHNb,Raiders of the Lost Ark (Original Motion Picture Soundtrack),spotify:album:6c37nZLIRbHWwBIIv6QI1p,Washington Ending / Raiders March,,3JHiyPyEGfdFlAgbX0iS7M,38,0.813,0.31,0.34600000000000003,131.11700000000002,0.152,0.91,0.107,-11.232000000000001,0.0392
8,Taxi Driver,Bernard Herrmann,5bUj39bg0zEbRzjUEISMG9,Bernard Herrman Films Scores (From Citizen Kane to Taxi Driver),spotify:album:5skqG082OVE59trg3zCRIx,"Medley: Prelude / The Murder / Finale - From ""Psycho""",https://p.scdn.co/mp3-preview/571e3043451b70007dda26f5bc9b2f39de735cb8?cid=0e18970867524f1fba6634279dd9e5b2,45KVd0mRuGlXdJ1Tb8cnIy,21,0.877,0.23600000000000002,0.0113,89.751,0.0374,0.3,0.0789,-31.226,0.0439
9,3 Idiots,Shantanu Moitra,6hpDlOvqsnIxrPegGTWVY1,3 Idiots (Original Motion Picture Soundtrack),spotify:album:6JzPRHDXP5soq9zjamRB3f,Give Me Some Sunshine,https://p.scdn.co/mp3-preview/513293ff19829e189fa2ecda713a0cee28263cb2?cid=0e18970867524f1fba6634279dd9e5b2,4gBQbegBZlPhMgaWVzCCY5,60,0.39299999999999996,0.6679999999999999,0.616,97.986,0.5660000000000001,6.31e-06,0.092,-7.925,0.0582
10,Pan's Labyrinth,Javier Navarrete,6Ayc7FBYR3HjkGQb7SZrzQ,Pan's Labyrinth (Original Motion Picture Soundtrack),spotify:album:5b5tWFo32wYBLMweeiL8vE,Pan's Labyrinth Lullaby,https://p.scdn.co/mp3-preview/f84421925786b272ee7f5538ba61277e7fcb09f6?cid=0e18970867524f1fba6634279dd9e5b2,4lKFXSXc1ZpavjZpcR42GC,45,0.89,0.284,0.0863,70.79,0.0796,0.0889,0.0803,-20.316,0.0428
11,Room,Stephen Rennicks,1qwshnqmsxCWhZAnBIISeL,Room (Original Motion Picture Soundtrack),spotify:album:5cfcDVGZ2re3JyJgOiddxu,In the World,https://p.scdn.co/mp3-preview/e6f573a949e7eaad1b1a75d26c1409adc979c74f?cid=0e18970867524f1fba6634279dd9e5b2,4tP7sRNpD0A6r60aa3WRsJ,25,0.987,0.109,0.10400000000000001,70.956,0.11699999999999999,0.903,0.0926,-14.72,0.0338
12,Indiana Jones and the Last Crusade,John Williams,3dRfiJ2650SZu6GbydcHNb,Indiana Jones and the Last Crusade (Original Motion Picture Soundtrack),spotify:album:57JDZNjlc0W3oQJjOscraH,Scherzo for Motorcycle and Orchestra,,2LWw1ntySZ43C3LoT9LVcp,36,0.9079999999999999,0.445,0.511,92.212,0.325,0.917,0.156,-10.056000000000001,0.0408
14,The King's Speech,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,The King's Speech OST,spotify:album:44jCEaOBXfvbmTDMXLphji,Speaking Unto Nations (Beethoven Symphony no 7 - II ),,4EcOBeGY1r0j26Z8FJ1nVZ,52,0.513,0.09300000000000001,0.0249,79.369,0.0365,0.805,0.0831,-20.74,0.0463
15,Her,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Her (Original Score),spotify:album:7xBJ2XXlDFfACXAnOE86t8,Song on the Beach,https://p.scdn.co/mp3-preview/d512ea83592df88a3539deaffebb4190a764257c?cid=0e18970867524f1fba6634279dd9e5b2,606R1WLtU2hPgl0YNfSJ4j,54,0.986,0.599,0.00379,131.623,0.326,0.924,0.10099999999999999,-31.414,0.0644
16,There Will Be Blood,Jonny Greenwood,0z9s3P5vCzKcUBSxgBDyLU,There Will Be Blood (Music from the Motion Picture),spotify:album:4lCAui1nwxoRBksYiiKjxm,Open Spaces,https://p.scdn.co/mp3-preview/895b784af6e0af2a603320b4ecd5280e54f13c10?cid=0e18970867524f1fba6634279dd9e5b2,1clSpczl9DzLXuQYM5ND2i,31,0.95,0.204,0.177,66.12,0.0366,0.875,0.111,-16.339000000000002,0.0428
17,The Social Network,Trent Reznor,6cadOIa5DTh6a5mGo5r4bh,The Social Network,spotify:album:1ijkFiMeHopKkHyvQCWxUa,Hand Covers Bruise,https://p.scdn.co/mp3-preview/578eb91d392f872333f6d6964bf6f68147c99715?cid=0e18970867524f1fba6634279dd9e5b2,1v0uVPU6BWcbog5BiWLWVa,51,0.971,0.204,0.154,114.21,0.0389,0.945,0.10300000000000001,-25.379,0.0421
